id,y_true,y_pred
50309,0.15,0.19296259
95219,0.2,0.3464012
197653,0.29,0.33728677
111236,0.25,0.29009834
147247,0.32,0.33339682
353495,0.05,0.11905797
285002,0.76,0.5021947
249557,0.21,0.3029956
417657,0.18,0.33162788
400306,0.3,0.32762304
366550,0.25,0.30344746
219723,0.57,0.42191315
149309,0.28,0.30888462
156746,0.37,0.3735072
512352,0.34,0.4388268
78273,0.16,0.22925696
395971,0.38,0.313727
440355,0.51,0.4581409
401961,0.54,0.5266899
24725,0.27,0.31357193
242321,0.36,0.3359711
428252,0.18,0.29986933
57250,0.24,0.4331183
300722,0.28,0.31948495
316773,0.38,0.3605001
105667,0.18,0.2349431
159177,0.27,0.3154582
58096,0.36,0.35590377
323180,0.6,0.42160082
398555,0.56,0.4415712
431636,0.32,0.2939095
182634,0.18,0.2783412
234908,0.11,0.20335002
3581,0.31,0.2576698
453453,0.28,0.34235418
363661,0.2,0.29257604
483614,0.4,0.35515615
412186,0.47,0.44892037
48976,0.34,0.31059638
33569,0.44,0.38705122
185848,0.28,0.3052755
33150,0.34,0.3205588
75438,0.12,0.29842165
296975,0.34,0.32667068
458488,0.32,0.32837448
426304,0.27,0.34235418
220754,0.58,0.44489262
473556,0.27,0.33755222
403137,0.39,0.38242495
52689,0.42,0.4399147
123119,0.63,0.3686529
357725,0.34,0.32747248
374725,0.43,0.31647468
85912,0.4,0.42046946
397750,0.08,0.18110248
261704,0.27,0.2217404
413774,0.16,0.2883118
67459,0.6,0.45198804
72869,0.18,0.24465525
380830,0.28,0.32769462
458752,0.2,0.35444692
158875,0.23,0.31291094
181595,0.32,0.40266377
298118,0.43,0.4424266
299723,0.25,0.44131458
119078,0.41,0.45357946
91382,0.33,0.43673977
7199,0.35,0.3744877
148349,0.34,0.33257386
293034,0.39,0.32568327
431414,0.48,0.31044206
387327,0.47,0.38605288
248206,0.04,0.16560224
167458,0.61,0.4288492
434965,0.55,0.428038
428809,0.32,0.31480816
134542,0.2,0.3678466
311253,0.23,0.44361648
206452,0.15,0.24893977
30860,0.51,0.45364168
173036,0.33,0.44131458
413188,0.55,0.4160273
24038,0.33,0.30151904
200421,0.32,0.33956861
213269,0.29,0.34253764
212526,0.15,0.19722907
72871,0.06,0.18304376
318229,0.3,0.3413611
344394,0.28,0.25215673
444689,0.12,0.24156186
273362,0.15,0.24567786
368357,0.58,0.560263
407952,0.39,0.38371414
474017,0.01,0.16644664
509754,0.07,0.19523771
161249,0.15,0.21160407
140499,0.42,0.45028117
172265,0.58,0.49539563
336248,0.46,0.36061728
471568,0.28,0.34089008
71294,0.24,0.25977054
195414,0.03,0.1808506
319930,0.38,0.35103625
161350,0.21,0.2126126
289109,0.35,0.3225829
217731,0.42,0.41360316
166972,0.34,0.31345576
242595,0.17,0.24654378
470480,0.28,0.3256471
193151,0.56,0.40487215
24037,0.61,0.42489284
255419,0.24,0.33280194
291362,0.48,0.43769762
288865,0.19,0.20064434
502454,0.02,0.16560224
339494,0.41,0.35219944
221159,0.08,0.18310176
76078,0.59,0.42474627
149165,0.71,0.42489284
220895,0.41,0.37123775
340410,0.44,0.38941878
189427,0.21,0.20298077
309986,0.37,0.35103625
425059,0.62,0.5131429
315380,0.14,0.21975231
87938,0.5,0.45147812
78098,0.56,0.46280667
382872,0.46,0.40811962
310141,0.24,0.22485283
480821,0.22,0.29473466
38979,0.2,0.23544611
143400,0.34,0.33642983
264087,0.3,0.34293893
396142,0.02,0.17000248
258877,0.34,0.3495366
224154,0.24,0.29074812
191594,0.18,0.2047321
283116,0.21,0.30506736
332549,0.65,0.35615957
97998,0.48,0.45376927
49990,0.32,0.3186153
296651,0.25,0.3344811
129871,0.42,0.45277733
238529,0.16,0.18839951
37872,0.33,0.3193485
433450,0.47,0.3238969
244967,0.15,0.23777132
275664,0.27,0.3154582
207882,0.02,0.16871724
271007,0.27,0.36738786
465081,0.41,0.4388268
333584,0.21,0.31356528
25828,0.42,0.43511447
397699,0.74,0.64958596
86585,0.36,0.32684934
123226,0.37,0.3286413
323339,0.39,0.24025951
147180,0.23,0.31539524
94824,0.08,0.16644664
276910,0.5,0.3515481
171014,0.1,0.3104682
39461,0.44,0.3495366
203277,0.26,0.3236367
50400,0.53,0.41266048
119186,0.37,0.31003243
118705,0.32,0.3327088
107488,0.14,0.21942843
441562,0.58,0.44359434
18790,0.34,0.31926295
393112,0.28,0.31197742
301230,0.69,0.5820947
141419,0.35,0.2250036
96678,0.24,0.30789825
193567,0.55,0.40501872
432951,0.47,0.42357048
462491,0.43,0.30620545
148060,0.38,0.35830867
147998,0.53,0.4251133
63926,0.39,0.29985377
39449,0.28,0.3075552
103495,0.12,0.20064434
245695,0.49,0.27852908
55704,0.38,0.33248028
507420,0.17,0.2047321
338687,0.42,0.4389137
468180,0.76,0.46446106
206523,0.02,0.16644664
328444,0.41,0.4175284
496256,0.21,0.25226364
136902,0.47,0.42370582
66231,0.05,0.16292396
398771,0.11,0.18136261
115812,0.14,0.20120133
37223,0.48,0.29167226
431960,0.4,0.3678466
317688,0.26,0.30730036
387496,0.56,0.42136222
244722,0.59,0.44010073
384931,0.17,0.21621984
440859,0.57,0.41780165
447376,0.34,0.31225455
46661,0.28,0.3073496
158881,0.3,0.33755222
464608,0.02,0.16528556
345567,0.39,0.3062695
481309,0.6,0.49893603
51540,0.13,0.22235969
372372,0.46,0.39245662
244324,0.46,0.38153765
307032,0.53,0.59527224
302257,0.36,0.358914
487180,0.82,0.5533691
64020,0.19,0.20064434
64783,0.19,0.21940824
344136,0.21,0.3445716
411607,0.34,0.35636252
25783,0.55,0.42479637
61616,0.33,0.32009196
403928,0.21,0.3413611
374954,0.35,0.35058135
113233,0.32,0.30985215
358907,0.29,0.24076128
388560,0.2,0.34227514
32782,0.86,0.6723537
276375,0.43,0.30811805
208279,0.41,0.38398486
19727,0.36,0.3551478
260574,0.34,0.30396914
48030,0.45,0.35261828
466713,0.58,0.46347192
182647,0.46,0.3669394
216555,0.43,0.34764653
43181,0.31,0.31949908
327887,0.26,0.30208823
