id,y_true,y_pred
50309,0.15,0.1370307
95219,0.2,0.3195782
197653,0.29,0.25132173
111236,0.25,0.29028824
147247,0.32,0.31953028
353495,0.05,0.039155
285002,0.76,0.6862342
249557,0.21,0.2357262
417657,0.18,0.27494526
400306,0.3,0.29742473
366550,0.25,0.22774275
219723,0.57,0.5551568
149309,0.28,0.26612106
156746,0.37,0.39419025
512352,0.34,0.40005955
78273,0.16,0.17843655
395971,0.38,0.32950655
440355,0.51,0.4848394
401961,0.54,0.6417752
24725,0.27,0.2927764
242321,0.36,0.36428595
428252,0.18,0.2357262
57250,0.24,0.3064108
300722,0.28,0.33723155
316773,0.38,0.388136
105667,0.18,0.18504447
159177,0.27,0.2927764
58096,0.36,0.3445238
323180,0.6,0.596754
398555,0.56,0.5551568
431636,0.32,0.27049625
182634,0.18,0.20257227
234908,0.11,0.14837152
3581,0.31,0.31129727
453453,0.28,0.37948734
363661,0.2,0.2351232
483614,0.4,0.35621116
412186,0.47,0.44362083
48976,0.34,0.26558843
33569,0.44,0.4425147
185848,0.28,0.2357262
33150,0.34,0.34060782
75438,0.12,0.23433909
296975,0.34,0.24054289
458488,0.32,0.27049625
426304,0.27,0.37106732
220754,0.58,0.49962965
473556,0.27,0.28784856
403137,0.39,0.4172175
52689,0.42,0.40359527
123119,0.63,0.5769432
357725,0.34,0.31301218
374725,0.43,0.39367837
85912,0.4,0.43699828
397750,0.08,0.05907744
261704,0.27,0.17731024
413774,0.16,0.2357262
67459,0.6,0.47320783
72869,0.18,0.19109213
380830,0.28,0.29742473
458752,0.2,0.3062836
158875,0.23,0.25194713
181595,0.32,0.38323966
298118,0.43,0.47320783
299723,0.25,0.3000741
119078,0.41,0.48287052
91382,0.33,0.29028824
7199,0.35,0.36779603
148349,0.34,0.36020145
293034,0.39,0.34920588
431414,0.48,0.5100257
387327,0.47,0.4584717
248206,0.04,0.061457712
167458,0.61,0.55352116
434965,0.55,0.5394085
428809,0.32,0.20558104
134542,0.2,0.37733656
311253,0.23,0.3008112
206452,0.15,0.26030913
30860,0.51,0.5086832
173036,0.33,0.2965561
413188,0.55,0.5543133
24038,0.33,0.2854508
200421,0.32,0.3181418
213269,0.29,0.3270965
212526,0.15,0.13823403
72871,0.06,0.07209422
318229,0.3,0.33008263
344394,0.28,0.2235922
444689,0.12,0.19161251
273362,0.15,0.1927321
368357,0.58,0.57291746
407952,0.39,0.4668442
474017,0.01,0.090068
509754,0.07,0.13823403
161249,0.15,0.15440297
140499,0.42,0.4291869
172265,0.58,0.511946
336248,0.46,0.36055887
471568,0.28,0.26558843
71294,0.24,0.2464808
195414,0.03,0.076151155
319930,0.38,0.37002632
161350,0.21,0.16076975
289109,0.35,0.2974537
217731,0.42,0.41229984
166972,0.34,0.25847867
242595,0.17,0.20877118
470480,0.28,0.26890394
193151,0.56,0.55093986
24037,0.61,0.5551568
255419,0.24,0.30694312
291362,0.48,0.44483072
288865,0.19,0.1295843
502454,0.02,0.059459303
339494,0.41,0.35378215
221159,0.08,0.09453874
76078,0.59,0.5551568
149165,0.71,0.54850286
220895,0.41,0.388136
340410,0.44,0.39764014
189427,0.21,0.1370307
309986,0.37,0.35823134
425059,0.62,0.61751664
315380,0.14,0.17171748
87938,0.5,0.4719375
78098,0.56,0.56583333
382872,0.46,0.41786572
310141,0.24,0.19051334
480821,0.22,0.23645213
38979,0.2,0.3081313
143400,0.34,0.36475414
264087,0.3,0.4414854
396142,0.02,0.114593185
258877,0.34,0.34463412
224154,0.24,0.2519154
191594,0.18,0.1579452
283116,0.21,0.23523529
332549,0.65,0.49858662
97998,0.48,0.48880544
49990,0.32,0.30764773
296651,0.25,0.32712743
129871,0.42,0.49619654
238529,0.16,0.13139583
37872,0.33,0.3069882
433450,0.47,0.3310926
244967,0.15,0.20739369
275664,0.27,0.27049625
207882,0.02,0.1002775
271007,0.27,0.3770336
465081,0.41,0.388136
333584,0.21,0.27049625
25828,0.42,0.42189702
397699,0.74,0.759329
86585,0.36,0.40430173
123226,0.37,0.33162406
323339,0.39,0.33775017
147180,0.23,0.29498568
94824,0.08,0.090128645
276910,0.5,0.48880544
171014,0.1,0.17324032
39461,0.44,0.35332313
203277,0.26,0.26955754
50400,0.53,0.5407072
119186,0.37,0.31327558
118705,0.32,0.29524976
107488,0.14,0.19161251
441562,0.58,0.53266966
18790,0.34,0.31829888
393112,0.28,0.3225215
301230,0.69,0.6543113
141419,0.35,0.34741673
96678,0.24,0.27186245
193567,0.55,0.55093986
432951,0.47,0.5552134
462491,0.43,0.33207935
148060,0.38,0.38983998
147998,0.53,0.56762636
63926,0.39,0.3295868
39449,0.28,0.3120321
103495,0.12,0.1292235
245695,0.49,0.515125
55704,0.38,0.33469364
507420,0.17,0.17329733
338687,0.42,0.52860725
468180,0.76,0.62632316
206523,0.02,0.10065817
328444,0.41,0.47304794
496256,0.21,0.29437855
136902,0.47,0.52646387
66231,0.05,0.05368053
398771,0.11,0.09044867
115812,0.14,0.14545725
37223,0.48,0.51012033
431960,0.4,0.388136
317688,0.26,0.26612106
387496,0.56,0.5672105
244722,0.59,0.52867705
384931,0.17,0.18840393
440859,0.57,0.56583333
447376,0.34,0.26771337
